cagrLucrosCincoAnos,cagrReceitasCincoAnos,divLiquidaEbit,divLiquidaEbitida,divLiquidaPl,dy,evEbit,evEbitida,giroAtivos,liqCorrente,lpa,mBruta,mEbit,mEbitda,maxCiquentaDuaSemana,maxMes,minCiquentaDuaSemana,minMes,mliquida,pAtivoCircLiq,pCapGiro,pEbit,pEbitida,passivoAtivo,pativo,pegRatio,pl,plAtivo,psr,pvp,roa,roe,roic,somaDyDozeMeses,ticker,tipoAtivo,valorAtual,valorizacaoAtivoDozeMeses,valorizacaoBaseDiaAnterior,valorizacaoMesAtual,vpa
-%,-%,"4,35","1,67","0,46",-,"80,96","31,17","0,73","2,16","0,05","21,58%","4,38%","11,37%","31,25","R$ 27,27","12,20","R$ 24,75","0,70%","-5,02","8,79","76,61","29,50","0,70","2,43","-2,40","476,31","0,30","3,35","8,14","0,51%","1,71%","3,30%","R$ 0,0000",SEQL3,ON,"25,90","112,30%","-0,04%","-4,60%","3,18"
"62,59%","8,76%","8,86","5,71","2,78","2,77","24,84","16,00","0,60","1,04","2,91","15,77%","7,78%","12,08%","125,67","R$ 128,00","17,87","R$ 27,63","3,16%","-1,10","84,47","17,56","11,31","0,85","0,82","2,20","43,21","0,15","1,37","5,51","1,90%","12,75%","6,53%","R$ 3,4838",CEPE3,ON,"125,67","603,25%","85,33%","363,26%","22,81"
-%,"18,59%","-4,05","4,89","0,65",-,"-4,06","4,89","0,15","1,21","-26,86","-0,83%","-31,34%","25,97%",-,R$ -,-,R$ -,"-47,65%","0,00","0,00","0,00","0,00","0,71","0,00","0,00","0,00","0,29","0,00","0,00","-7,05%","-24,25%","-8,74%","R$ 0,0000",SMFT3,ON,"0,00",-%,"0,00%",-%,"110,79"
"33,34%","35,12%","-0,53","-0,42","-0,23","0,99","8,99","7,11","0,86","1,54","3,89","34,50%","19,35%","24,47%","72,25","R$ 72,25","24,53","R$ 64,69","9,50%","-2,60","10,33","9,12","7,21","0,61","1,51","0,17","18,56","0,39","1,76","3,92","8,16%","21,14%","21,10%","R$ 0,7159",UNIP3,ON,"72,25","145,58%","1,05%","11,34%","18,42"
"-2,60%","1,17%",-,-,-,"4,81","-30,73",-,"0,14","3,23","1,46","1,96%","-1,80%",-%,"16,30","R$ 14,77","11,46","R$ 14,05","5,46%","-0,09","0,76","-30,73",-,"0,90","0,08","-0,29","10,13","0,10","0,55","0,76","0,74%","7,51%",-%,"R$ 0,7098",ABCB4,PN,"14,77","7,26%","2,36%","5,12%","19,41"
"2,51%","-7,54%","-2,71","-1,80","-0,31","6,05","15,34","10,19","0,73","2,67","0,22","39,01%","11,68%","17,58%","4,94","R$ 4,80","3,18","R$ 4,26","9,86%","-3,24","4,73","18,05","11,99","0,24","1,55","-1,22","21,39","0,76","2,11","2,03","7,23%","9,51%","7,71%","R$ 0,2902",UCAS3,ON,"4,80","24,35%","5,73%","12,68%","2,36"
-%,"-32,61%","-0,65","-0,72",-,-,"-0,79","-0,88","0,74","0,68","-6,62","30,89%","-155,25%","-139,61%","2,60","R$ 1,23","0,67","R$ 1,05","-170,34%","-0,41","-1,11","-0,20","-0,22","2,64","0,23","-0,01","-0,18","-1,64","0,31","-0,14","-125,93%","-76,97%","142,46%","R$ 0,0000",SLED3,ON,"1,20","-17,24%","2,56%","0,00%","-8,60"
-%,"10,03%","7,29","5,09","1,50",-,"7,29","5,09","0,26","2,39","-0,03","44,34%","22,03%","31,53%",-,R$ -,-,R$ -,"-0,81%","0,00","0,00","0,00","0,00","0,72","0,00","0,00","0,00","0,28","0,00","0,00","-0,21%","-0,76%","5,64%","R$ 0,0000",IGSN3,ON,"0,00",-%,"0,00%",-%,"3,91"
"24,14%","10,16%","1,70","1,31","0,33","3,10","8,82","6,80","0,59","2,28","0,79","22,97%","13,67%","17,75%","10,00","R$ 10,00","3,74","R$ 7,91","13,49%","-2,90","2,73","12,44","9,58","0,58","1,00","0,27","12,60","0,42","1,70","2,41","7,96%","19,10%","7,62%","R$ 0,3098",SHUL4,PN,"10,00","150,00%","8,11%","26,42%","4,15"
-%,"4,44%","3,69","1,41","0,31",-,"19,82","7,58","0,70","2,20","-0,53","16,09%","5,09%","13,32%","24,98","R$ 24,98","13,00","R$ 20,50","-1,79%","-1,26","1,93","16,13","6,17","0,58","0,57","0,36","-45,90","0,42","0,82","1,37","-1,25%","-2,98%","3,53%","R$ 0,0000",TUPY3,ON,"24,26","73,16%","0,17%","18,34%","17,71"
-%,"-40,82%","0,72","0,92","-0,30",-,"-2,66","-3,40","0,08","1,40","-1,61","-37,76%","-199,18%","-155,39%","4,93","R$ 4,02","1,25","R$ 3,62","-271,46%","-0,99","3,64","-3,38","-4,33","0,64","0,51","-0,05","-2,48","0,36","6,73","1,42","-20,51%","-57,14%","-28,17%","R$ 0,0000",SHOW3,ON,"3,99","60,24%","0,25%","10,22%","2,82"
-%,-%,"16,50",-,"-0,05",-,"9,05",-,"0,00",-,"-1,28",-%,-%,-%,"14,60","R$ 14,60","4,97","R$ 14,60",-%,"-0,02","0,43","-7,45",-,"0,29","0,01","0,09","-11,37","0,71",-,"0,02","-0,13%","-0,18%","-0,28%","R$ 0,0000",PPAR3,ON,"14,60","193,76%","193,76%","0,00%","707,46"
-%,"-7,50%","15,96","8,96","0,71",-,"24,81","13,93","0,49","1,25","-6,42","32,98%","3,20%","5,70%","8,69","R$ 8,69","4,00","R$ 7,46","-20,91%","-0,24","1,61","8,85","4,97","0,65","0,14","0,00","-1,35","0,35","0,28","0,39","-10,14%","-29,02%","-1,12%","R$ 0,0000",SGPS3,ON,"8,69","51,13%","8,63%","11,41%","22,12"
-%,"36,13%","6,94",-,"0,20",-,"94,34",-,"0,61","1,16","-0,47","64,17%","2,14%",-%,"53,76","R$ 52,84","32,04","R$ 47,30","-1,76%","-1,64","26,80","87,40",-,"0,55","1,13","0,20","-106,14","0,45","1,87","2,52","-1,07%","-2,37%","1,25%","R$ 0,0000",NTCO3,ON,"50,16","49,96%","-5,07%","6,05%","19,91"
"62,86%","50,40%","9,81",-,"1,34",-,"25,10",-,"0,10","2,16","0,25","36,92%","47,53%",-%,"43,36","R$ 40,84","29,42","R$ 39,06","4,48%","-0,86","11,31","15,28",-,"0,64","0,76","1,98","162,22","0,36","7,26","2,08","0,47%","1,28%","4,79%","R$ 0,0000",OMGE3,ON,"40,84","34,34%","1,06%","4,56%","19,61"
-%,"-19,43%","-12,17","7,23","2,84",-,"-17,82","10,58","0,13","1,88","-1,77","21,68%","-19,51%","32,85%","3,65","R$ 2,77","0,98","R$ 2,45","-113,42%","-0,36","0,92","-8,05","4,78","0,89","0,20","-0,08","-1,39","0,11","1,57","1,88","-14,26%","-135,52%","-15,72%","R$ 0,0000",OIBR4,PN,"2,45","131,13%","-1,21%","-6,84%","1,30"
-%,"8,36%","0,56",-,"0,30","0,13","14,91",-,"0,98","2,08","10,52","34,98%","25,92%",-%,"190,00","R$ 190,00","13,08","R$ 190,00","20,60%","-14,73","9,39","14,34",-,"0,51","3,66","0,04","18,05","0,49","3,72","7,54","20,28%","41,79%","25,66%","R$ 0,2561",ODER4,PN,"190,00","1.352,60%","0,00%","0,00%","25,19"
-%,"-12,82%","-1,25",-,"5,67",-,"-1,53",-,"0,28","1,81","-29,12","49,28%","-209,69%",-%,"8,80","R$ 5,05","3,93","R$ 3,99","-334,84%","-0,21","1,47","-0,28",-,"0,87","0,16","0,00","-0,17","0,13","0,58","1,26","-93,03%","-724,31%","-98,21%","R$ 0,0000",LLIS3,ON,"5,05","-20,22%","5,21%","26,57%","4,02"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-%,"5,03%","8,47","6,82",-,-,"11,16","8,98","1,37","3,06","-5,36","14,76%","14,38%","17,87%","10,50","R$ 9,41","4,81","R$ 8,50","-5,67%","-0,33","0,34","0,68","0,55","2,01","0,13","0,00","-1,73","-1,01","0,10","-0,13","-7,78%","-7,73%","23,17%","R$ 0,0000",MGEL4,PN,"9,27","62,63%","3,58%","9,06%","-69,31"
"24,14%","10,16%","1,70","1,31","0,33",-,"8,82","6,80","0,59","2,28","0,79","22,97%","13,67%","17,75%",-,R$ -,-,R$ -,"13,49%","0,00","0,00","0,00","0,00","0,58","0,00","0,00","0,00","0,42","0,00","0,00","7,96%","19,10%","7,62%","R$ 0,2816",SHUL3,ON,"0,00",-%,"0,00%",-%,"4,15"
"41,61%","2,49%",-,-,-,"1,20","92,50","52,63","0,05","0,92","3,52","-7,36%","7,72%","13,57%","114,15","R$ 101,14","36,06","R$ 94,55","24,86%","-0,97","-6,76","92,50","52,63","0,89","0,37","-2,28","28,74","0,11","7,14","3,53","1,30%","12,29%",-%,"R$ 1,2121",BPAC11,,"101,14","159,13%","1,92%","6,97%","28,63"
-%,"5,03%","8,47","6,82",-,-,"11,16","8,98","1,37","3,06","-5,36","14,76%","14,38%","17,87%","85,35","R$ 85,35","24,15","R$ 25,65","-5,67%","-3,07","3,09","6,28","5,06","2,01","1,24","-0,01","-15,93","-1,01","0,90","-1,23","-7,78%","-7,73%","23,17%","R$ 0,0000",MGEL3,ON,"85,35","253,42%","15,18%","232,75%","-69,31"
"53,51%",-%,"-2,18",-,"-0,45","2,41","17,43",-,"0,00","3,01","3,85",-%,-%,-%,"96,77","R$ 70,90","15,48","R$ 68,23",-%,"-5,76","12,06","19,60",-,"0,18","3,36","-0,01","18,43","0,82",-,"4,10","18,22%","22,22%","20,89%","R$ 1,7089",LIPR3,ON,"70,90","-6,04%","1,03%","3,78%","17,31"
-%,"-30,32%",-,-,-,-,"27,43",-,"0,19","4,63","0,49","79,12%","22,22%",-%,"15,80","R$ 10,80","9,06","R$ 10,47","15,28%","-1,06","2,10","15,27",-,"0,18","0,64","-0,43","22,22","0,82","3,39","0,79","2,90%","3,54%",-%,"R$ 0,0000",MERC4,PN,"10,80","14,89%","0,00%","3,15%","13,75"
-%,-%,"0,00",-,-,-,"-9,26",-,"0,00","0,51","-0,76",-%,-%,-%,-,R$ -,-,R$ -,-%,-,"-0,98","-9,26",-,"1,94","0,92","0,02","-2,15","-0,94",-,"-0,98","-43,02%","-45,53%","10,57%","R$ 0,0000",OGXP3,ON,"1,63",-%,"0,00%",-%,"-1,67"
"-9,32%","1,43%","6,51","4,19","1,16","2,09","19,81","12,73","2,24","1,89","0,80","6,91%","2,18%","3,39%","24,41","R$ 21,12","13,00","R$ 20,45","1,10%","-1,25","2,85","13,30","8,55","0,73","0,65","0,19","26,32","0,27","0,29","2,37","2,46%","9,01%","4,11%","R$ 0,4400",UGPA3,ON,"21,09","51,95%","-0,14%","1,44%","8,89"
"12,94%","9,71%","3,19","2,60","1,12","12,92","8,39","6,84","0,61","1,52","2,03","22,91%","16,75%","20,54%","16,45","R$ 14,46","13,29","R$ 13,69","12,24%","-0,67","6,96","5,19","4,23","0,71","0,53","0,28","7,11","0,29","0,87","1,83","7,41%","25,73%","13,09%","R$ 1,8681",CSRN5,PNA,"14,46","-11,12%","0,07%","5,62%","7,91"
"6,53%","9,55%","-0,69","-0,61","-0,16",-,"-0,69","-0,61","0,91","3,80","1,97","30,20%","18,39%","20,87%",-,R$ -,-,R$ -,"11,87%","0,00","0,00","0,00","0,00","0,28","0,00","0,00","0,00","0,72","0,00","0,00","10,84%","14,95%","15,75%","R$ 0,0000",NRTQ3,ON,"0,00",-%,"0,00%",-%,"13,19"
"12,94%","9,71%","3,19","2,60","1,12","11,72","8,39","6,84","0,61","1,52","2,03","22,91%","16,75%","20,54%","16,14","R$ 14,49","13,19","R$ 13,19","12,24%","-0,68","6,98","5,20","4,24","0,71","0,53","0,28","7,12","0,29","0,87","1,83","7,41%","25,73%","13,09%","R$ 1,6983",CSRN3,ON,"14,49","-9,89%","0,98%","8,38%","7,91"
"10,22%","7,15%","-1,43","-1,38","-0,61","5,23","12,29","11,87","0,92","1,81","0,68","59,60%","29,17%","30,19%","15,61","R$ 13,44","11,69","R$ 13,02","20,46%","-7,59","15,89","13,72","13,26","0,37","3,68","0,73","19,57","0,63","4,00","5,86","18,80%","29,93%","29,39%","R$ 0,6949",ODPV3,ON,"13,30","-6,54%","-1,04%","1,68%","2,27"
-%,"16,01%","6,15","4,52","4,51",-,"16,45","12,07","0,34","2,98","-2,21","39,52%","26,90%","36,65%","31,18","R$ 30,05","15,95","R$ 28,05","-20,82%","-1,35","4,61","10,29","7,56","0,88","0,94","0,03","-13,30","0,12","2,77","7,55","-7,05%","-56,74%","5,83%","R$ 0,0000",KLBN11,,"29,45","84,64%","-2,00%","4,99%","3,90"
-%,"16,01%","6,15","4,52","4,51",-,"16,45","12,07","0,34","2,98","-0,44","39,52%","26,90%","36,65%","6,15","R$ 5,96","3,19","R$ 5,58","-20,82%","-1,34","4,58","10,22","7,50","0,88","0,93","0,03","-13,21","0,12","2,75","7,50","-7,05%","-56,74%","5,83%","R$ 0,0000",KLBN4,PN,"5,85","83,39%","-1,85%","4,84%","0,78"
-%,"16,01%","6,15","4,52","4,51",-,"16,45","12,07","0,34","2,98","-0,44","39,52%","26,90%","36,65%","6,64","R$ 6,26","3,29","R$ 5,72","-20,82%","-1,40","4,79","10,68","7,84","0,88","0,97","0,03","-13,80","0,12","2,87","7,83","-7,05%","-56,74%","5,83%","R$ 0,0000",KLBN3,ON,"6,11","85,71%","-2,40%","6,82%","0,78"
"17,84%","10,07%","1,77","1,43","0,40","4,72","5,86","4,76","0,36","1,21","0,66","59,97%","32,72%","40,30%","6,33","R$ 4,44","3,91","R$ 4,18","20,76%","-0,57","21,09","4,13","3,35","0,47","0,49","-0,84","6,51","0,53","1,35","0,93","7,55%","14,35%","11,34%","R$ 0,2023",SAPR4,PN,"4,29","-7,54%","2,39%","-3,38%","4,59"
"84,17%","-22,74%","-0,06",-,"-0,01",-,"0,62",-,"0,05","2,49","2.843,13","29,60%","283,02%",-%,-,R$ -,-,R$ -,"228,44%","-0,19","0,75","0,99",-,"0,46","0,13","0,00","1,23","0,54","2,81","0,25","10,93%","20,23%","19,81%","R$ 0,0000",APTI4,PN,"3.500,00",-%,"0,00%",-%,"14.055,55"
"26,05%","4,99%","-15,54","-5,73","-1,88","5,99","-1,49","-0,55","0,69","2,26","1,84","13,59%","5,09%","13,82%","14,01","R$ 10,79","9,19","R$ 9,90","12,22%","-1,44","1,21","13,04","4,81","0,71","0,46","0,06","5,44","0,29","0,66","1,57","8,42%","28,97%","6,95%","R$ 0,5983",SULA4,PN,"9,99","-10,48%","0,91%","-3,10%","6,34"
-%,"-5,17%","31,93","16,74","0,90",-,"38,25","20,06","0,46","1,12","-6,84","29,33%","2,13%","4,05%","13,70","R$ 12,50","6,99","R$ 11,88","-10,60%","-0,15","2,15","8,97","4,70","0,65","0,09","-0,01","-1,80","0,35","0,19","0,25","-4,92%","-14,06%","-1,25%","R$ 0,0000",CTNM3,ON,"12,30","57,69%","3,54%","2,50%","48,66"
-%,"20,30%","22,96","4,10","1,08","0,49","209,61","37,45","0,53","1,40","-0,28","24,94%","2,37%","13,24%","199,00","R$ 145,00","50,86","R$ 57,65","-2,14%","-3,40","25,95","186,65","33,35","0,73","2,33","0,93","-206,14","0,27","4,42","8,79","-1,13%","-4,26%","1,07%","R$ 0,2854",DASA3,ON,"57,80","-17,20%","-0,26%","-59,71%","6,58"
-%,"6,86%","2,32","1,54","0,46","17,45","7,11","4,73","0,45","1,44","2,15","44,99%","23,96%","36,06%","17,60","R$ 16,13","12,23","R$ 14,95","15,28%","-0,63","9,95","4,79","3,18","0,45","0,52","0,91","7,51","0,55","1,15","0,95","6,94%","12,65%","9,69%","R$ 2,8150",CSMG3,ON,"16,13","19,22%","2,61%","6,40%","16,98"
-%,"24,40%","7,56",-,"8,63",-,"7,56",-,"0,30","2,20","-16,99","37,74%","27,71%",-%,-,R$ -,-,R$ -,"-9,65%","0,00","0,00","0,00",-,"0,93","0,00","0,00","0,00","0,07","0,00","0,00","-2,89%","-39,77%","1,90%","R$ 0,0299",NEMO6,PNB,"0,00",-%,"0,00%",-%,"42,74"
-%,"3,81%","12,48","5,02","1,09","1,40","27,56","11,09","0,53","1,08","0,29","12,79%","5,04%","12,53%","30,35","R$ 30,35","14,99","R$ 15,30","0,79%","-0,56","18,93","15,08","6,07","0,69","0,41","-1,17","96,73","0,31","0,76","1,32","0,42%","1,36%","3,50%","R$ 0,3981",CBEE3,ON,"28,40","77,50%","-6,43%","83,11%","21,55"
"59,39%","7,49%","4,83","3,58","1,01","0,54","37,60","27,88","0,30","0,87","0,14","50,85%","24,24%","32,69%",-,"R$ 12,00",-,"R$ 9,42","9,84%","-2,05","-90,80","24,15","17,91","0,65","1,78","-9,92","59,52","0,35","5,85","5,06","2,99%","8,50%","7,85%","R$ 0,0455",CASN4,PN,"8,37",-%,"0,00%",-%,"1,66"
"0,61%","10,10%","4,48","3,57","0,95","1,65","22,00","17,51","0,38","1,78","1,82","27,34%","17,98%","22,60%","95,29","R$ 92,85","54,97","R$ 89,19","6,31%","-1,75","8,47","17,51","13,94","0,68","1,19","-0,77","49,94","0,32","3,15","3,70","2,38%","7,40%","8,04%","R$ 1,4978",CSAN3,ON,"90,80","64,17%","-0,29%","-2,21%","24,56"
"14,88%","0,74%",-,-,-,"2,61","5,72",-,"0,09","0,77","3,56","71,66%","12,77%",-%,"49,16","R$ 39,00","37,88","R$ 37,88","8,57%","-0,18","-0,55","7,18",-,"0,93","0,09","-0,31","10,69","0,07","0,92","1,19","0,80%","11,14%",-%,"R$ 0,9911",BGIP3,ON,"38,00","-11,53%","-2,56%","0,32%","31,91"
"19,63%","4,82%","4,40","4,40","0,37","7,83","11,84","11,84","0,10","2,57","0,33","63,04%","50,22%","50,22%","15,82","R$ 11,92","10,40","R$ 11,44","10,42%","-0,41","5,57","7,44","7,44","0,40","0,37","0,66","35,89","0,60","3,74","0,62","1,03%","1,72%","4,79%","R$ 0,9326",CCPR3,ON,"11,91","-20,23%","0,76%","2,32%","19,26"
-%,"3,44%","-6,99","-48,81","0,69",-,"-14,01","-97,82","0,68","1,20","-2,47","17,68%","-5,64%","-0,81%","11,98","R$ 9,90","6,89","R$ 9,18","-10,44%","-0,49","3,59","-7,02","-49,00","0,61","0,27","0,01","-3,79","0,39","0,40","0,69","-7,06%","-18,20%","-4,81%","R$ 0,0000",VLID3,ON,"9,35","-0,53%","0,54%","1,85%","13,56"
"78,83%","3,68%","3,70","2,78","0,93",-,"7,67","5,76","0,50","1,10","1,86","24,44%","13,62%","18,14%","24,50","R$ 20,31","9,50","R$ 18,92","5,29%","-0,38","9,35","3,97","2,98","0,73","0,27","-0,21","10,22","0,27","0,54","1,00","2,62%","9,78%","8,51%","R$ 0,0000",LIGT3,ON,"18,99","70,31%","0,37%","-6,50%","18,99"
"135,03%","8,45%","3,78","2,47","1,02",-,"16,35","10,69","0,87","1,04","0,63","32,75%","5,60%","8,57%","21,29","R$ 12,92","6,38","R$ 12,25","3,47%","-1,48","27,12","12,58","8,22","0,82","0,62","-0,12","20,29","0,18","0,70","3,41","3,04%","16,79%","10,20%","R$ 0,0000",VVAR3,ON,"12,75","93,47%","-0,62%","4,08%","3,74"
-%,"24,40%","7,56","4,22","8,70",-,"19,03","10,62","0,30","2,20","-7,88","37,73%","27,72%","49,65%","79,18","R$ 72,40","34,92","R$ 69,25","-35,21%","-1,15","9,89","11,47","6,40","0,93","0,95","-0,03","-9,03","0,07","3,18","13,19","-10,54%","-146,17%","1,89%","R$ 0,0000",SUZB3,ON,"71,12","103,67%","-1,36%","2,70%","5,39"
"4,05%","-7,54%","-2,17","-1,04","-0,11","1,88","44,62","21,31","0,46","2,25","2,11","39,09%","7,56%","15,84%","23,37","R$ 23,37","10,77","R$ 15,87","31,95%","-4,17","4,78","46,79","22,34","0,31","1,62","0,19","11,08","0,69","3,54","2,34","14,65%","21,14%","0,15%","R$ 0,4401",HGTX3,ON,"23,37","65,74%","6,66%","47,26%","9,98"
-%,"-18,14%","-0,67",-,-,-,"-0,74",-,"0,36","0,31","-21,16","-60,76%","-92,67%",-%,-,R$ -,-,R$ -,"-101,97%","-0,05","-0,04","-0,10",-,"2,51","0,03","0,00","-0,09","-1,51","0,09","-0,02","-36,57%","-24,19%","25,82%","R$ 0,0000",FBMC4,PN,"1,96",-%,"0,00%",-%,"-87,48"
-%,"-4,76%","-3,15","-10,18","0,21",-,"-4,90","-15,82","0,59","2,22","-48,70","17,94%","-6,16%","-1,91%",-,R$ -,-,R$ -,"-5,09%","0,00","0,00","0,00","0,00","0,45","0,00","0,00","0,00","0,55","0,00","0,00","-3,00%","-5,43%","-5,07%","R$ 0,0000",CATA4,PN,"0,00",-%,"0,00%",-%,"897,16"
"13,25%","13,49%","2,19","1,89","1,58","4,11","8,34","7,16","0,35","1,44","3,43","44,57%","45,43%","52,90%","45,90","R$ 41,94","35,35","R$ 41,30","22,82%","-1,25","14,55","6,14","5,28","0,78","0,97","0,58","12,23","0,22","2,79","4,42","7,95%","36,13%","19,10%","R$ 1,7246",EGIE3,ON,"41,94","7,21%","1,01%","1,11%","9,49"
"26,66%","14,95%","-0,05",-,"-0,01","3,62","9,27",-,"0,24","3,19","28,87","55,28%","42,80%",-%,"600,00","R$ 600,00","360,00","R$ 600,00","21,01%","-1,51","4,87","10,20",-,"0,54","1,04","-0,72","20,78","0,46","4,37","2,27","5,00%","10,91%","13,55%","R$ 21,7276",EEEL4,PN,"600,00","50,00%","4,35%","0,00%","264,59"
"84,17%","-22,74%","-0,06",-,"-0,01",-,"0,62",-,"0,05","2,49","2.843,13","29,60%","283,02%",-%,-,R$ -,-,R$ -,"228,44%","-0,01","0,04","0,06",-,"0,46","0,01","0,00","0,07","0,54","0,16","0,01","10,93%","20,23%","19,81%","R$ 0,0000",APTI3,ON,"197,64",-%,"0,00%",-%,"14.055,55"
"-6,62%","-0,25%","-0,21","-0,13","-0,03","2,05","17,62","11,50","0,86","1,55","0,97","26,09%","8,06%","12,34%","26,90","R$ 26,90","14,50","R$ 22,85","5,18%","-2,83","6,14","17,83","11,64","0,52","1,23","-0,53","27,72","0,48","1,44","2,57","4,45%","9,28%","9,37%","R$ 0,5504",LEVE3,ON,"26,90","57,68%","0,98%","17,72%","10,46"
-%,"-32,61%","-0,65","-0,72",-,-,"-0,79","-0,88","0,74","0,68","-6,62","30,89%","-155,25%","-139,61%","1,12","R$ 0,66","0,50","R$ 0,61","-170,34%","-0,21","-0,59","-0,10","-0,12","2,64","0,12","0,00","-0,10","-1,64","0,16","-0,07","-125,93%","-76,97%","142,46%","R$ 0,0000",SLED4,PN,"0,63","-34,38%","1,61%","-1,56%","-8,60"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10,49%","4,74%","2,71","2,28","9,21","5,84","13,08","10,99","0,78","1,17","8,68","33,80%","24,09%","28,65%","186,38","R$ 161,99","136,00","R$ 151,14","13,83%","-3,32","34,44","10,58","8,90","0,94","2,00","-1,16","18,43","0,06","2,55","35,93","10,84%","195,00%","18,79%","R$ 9,3436",CGAS5,PNA,"160,00","5,90%","0,40%","5,86%","4,45"
"14,88%","0,74%",-,-,-,"4,83","5,72",-,"0,09","0,77","3,56","71,66%","12,77%",-%,"31,81","R$ 22,56","19,53","R$ 22,06","8,57%","-0,10","-0,33","4,26",-,"0,93","0,05","-0,18","6,34","0,07","0,54","0,71","0,80%","11,14%",-%,"R$ 1,0903",BGIP4,PN,"22,55","-2,55%","2,04%","2,22%","31,91"
"-6,09%","7,29%","5,67","3,16","0,69","4,14","13,39","7,45","0,63","0,84","3,41","12,67%","6,70%","12,04%","229,11","R$ 68,00","42,00","R$ 51,24","4,52%","-0,57","-8,89","10,14","5,65","0,66","0,43","-0,44","15,04","0,34","0,68","1,23","2,83%","8,21%","5,07%","R$ 2,1237",COCE3,ON,"51,24","22,00%","-15,00%","-24,65%","41,49"
-%,"-8,26%","1,37","0,92","0,15","9,76","12,51","8,40","0,13","1,06","5,28","37,95%","42,39%","63,11%","29,27","R$ 26,60","23,03","R$ 25,09","90,17%","-0,65","127,62","10,72","7,20","0,50","0,60","0,10","5,04","0,50","4,54","1,21","11,88%","23,99%","-7,30%","R$ 2,5963",CESP6,PNB,"26,60","10,05%","2,11%","0,72%","22,00"
-%,"7,69%","4,14","1,01",-,-,"10,60","2,59","0,77","0,46","-0,61","20,68%","14,14%","57,89%","9,73","R$ 9,73","2,54","R$ 7,82","-6,03%","-1,20","-1,47","6,46","1,58","1,07","0,71","0,79","-15,15","-0,08","0,91","-9,38","-4,66%","-61,90%","22,54%","R$ 0,0000",BSEV3,ON,"9,31","223,26%","-2,72%","19,05%","-0,99"
"-6,77%","-5,25%",-,-,-,"5,36","5,53",-,"0,09","2,34","1,78","63,68%","11,43%",-%,"15,20","R$ 12,09","10,62","R$ 11,88","8,84%","-0,06","1,22","5,17",-,"0,91","0,05","-0,16","6,68","0,09","0,59","0,58","0,79%","8,72%",-%,"R$ 0,6375",BRSR6,PNB,"11,89","-2,62%","0,08%","-1,00%","20,40"
-%,"4,04%","-0,55","-0,12","-0,13",-,"110,21","24,77","0,65","0,57","0,02","30,06%","7,36%","32,74%",-,"R$ 62,60",-,"R$ 62,60","1,41%","-37,17","-135,57","571,15","128,37","0,80","27,20","-29,28","2.990,60","0,20","42,03","137,98","0,91%","4,61%","15,37%","R$ 0,0000",DTCY4,PN,"62,60",-%,"0,00%",-%,"0,45"
"-6,77%","-5,25%",-,-,-,"4,71","5,53",-,"0,09","2,34","1,78","63,68%","11,43%",-%,"18,06","R$ 13,85","12,11","R$ 13,55","8,84%","-0,07","1,39","5,89",-,"0,91","0,06","-0,18","7,62","0,09","0,67","0,66","0,79%","8,72%",-%,"R$ 0,6375",BRSR3,ON,"13,55","-4,31%","-0,44%","-1,45%","20,40"
"-6,77%","-5,25%",-,-,-,"3,51","5,53",-,"0,09","2,34","1,78","63,68%","11,43%",-%,"24,24","R$ 18,70","16,51","R$ 17,25","8,84%","-0,09","1,91","8,13",-,"0,91","0,08","-0,25","10,51","0,09","0,93","0,92","0,79%","8,72%",-%,"R$ 0,6555",BRSR5,PNA,"18,70","-20,22%","8,41%","8,41%","20,40"
-%,"-2,25%","3,50","3,42","0,41","5,91","9,99","9,77","0,16","1,71","4,04","72,63%","29,66%","30,32%","80,97","R$ 77,00","29,66","R$ 71,28","21,80%","-0,87","6,18","13,46","13,17","0,59","0,65","-0,45","18,32","0,41","3,99","1,57","3,54%","8,59%","6,62%","R$ 4,3731",ELET5,PNA,"74,00","75,52%","-2,93%","3,82%","47,01"
"-24,79%","14,99%",-,-,-,-,"1,80",-,"0,24",-,"6,31","51,56%","21,77%",-%,-,"R$ 47,04",-,"R$ 38,52","5,61%","-0,12",-,"1,80",-,"0,86","0,09","-0,11","6,98","0,14","0,39","0,66","1,35%","9,46%",-%,"R$ 0,0000",BPAT33,ON,"44,05",-%,"0,00%",-%,"66,71"
"10,49%","4,74%","2,71","2,28","9,21","5,42","13,08","10,99","0,78","1,17","8,68","33,80%","24,09%","28,65%","186,41","R$ 159,50","126,20","R$ 156,66","13,83%","-3,25","33,72","10,36","8,71","0,94","1,96","-1,14","18,04","0,06","2,50","35,18","10,84%","195,00%","18,79%","R$ 8,4942",CGAS3,ON,"156,66","24,14%","-1,78%","-0,36%","4,45"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8,78%","3,76%","-2,39","-2,00","-0,29","3,96","6,05","5,07","0,50","2,43","3,52","53,59%","16,87%","20,13%","41,68","R$ 35,00","19,85","R$ 30,70","15,78%","-1,42","2,49","8,53","7,15","0,29","0,72","-0,20","9,12","0,71","1,44","1,02","7,92%","11,23%","9,07%","R$ 1,2729",CGRA3,ON,"32,12","40,88%","1,97%","4,63%","31,39"
